nameOfIssuer,titleOfClass,cusip,value,shares,putCall,investmentDiscretion,va_sole,va_shared,va_none
ALPHABET INC,CAP STK CL A,02079K305,1873571974000,10631402,,SOLE,10631402,0,0
AMAZON COM INC,COM,023135106,2344300840000,10685541,,SOLE,10685541,0,0
APOLLO GLOBAL MGMT INC,COM,03769M106,880941198000,6209496,,SOLE,6209496,0,0
APPLIED MATLS INC,COM,038222105,163884264000,895200,,SOLE,895200,0,0
APPLOVIN CORP,COM CL A,03831W108,701206389000,2002989,,SOLE,2002989,0,0
ATRENEW INC,SPONSORED ADS,00138L108,32541332000,9831218,,SOLE,9831218,0,0
BLOCK INC,CL A,852234103,267945809000,3944440,,SOLE,3944440,0,0
BROADCOM INC,COM,11135F101,745140939000,2703214,,SOLE,2703214,0,0
CHIME FINL INC,COM SHS CL A,16935C109,430366204000,12470768,,SOLE,12470768,0,0
CIRCLE INTERNET GROUP INC,COM CL A,172573107,22661250000,125000,,SOLE,125000,0,0
CORPAY INC,COM SHS,219948106,498276176000,1501646,,SOLE,1501646,0,0
COSTAR GROUP INC,COM,22160N109,260906764000,3245109,,SOLE,3245109,0,0
COUPANG INC,CL A,22266T109,407023947000,13585579,,SOLE,13585579,0,0
CROWDSTRIKE HLDGS INC,CL A,22788C105,254655000000,500000,,SOLE,500000,0,0
DOORDASH INC,CL A,25809K105,6245824000,25337,,SOLE,25337,0,0
ELASTIC N V,ORD SHS,N14506104,142576731000,1690700,,SOLE,1690700,0,0
ELI LILLY & CO,COM,532457108,1177994555000,1511160,,SOLE,1511160,0,0
ETORO GROUP LTD,SHS CL A,G32089107,5327200000,80000,,SOLE,80000,0,0
FLUTTER ENTMT PLC,SHS,G3643J108,986841298000,3453392,,SOLE,3453392,0,0
GE VERNOVA INC,COM,36828A101,580897695000,1097794,,SOLE,1097794,0,0
GRAB HOLDINGS LIMITED,CLASS A ORD,G4124C109,467406654000,92923788,,SOLE,92923788,0,0
HINGE HEALTH INC,CL A,433313103,28566414000,552008,,SOLE,552008,0,0
JD.COM INC,SPON ADS CL A,47215P106,11238246000,344309,,SOLE,344309,0,0
LAM RESEARCH CORP,COM NEW,512807306,512040328000,5260328,,SOLE,5260328,0,0
LIBERTY MEDIA CORP DEL,COM LBTY ONE S C,531229755,280269000000,2682000,,SOLE,2682000,0,0
META PLATFORMS INC,CL A,30303M102,5560419467000,7533525,,SOLE,7533525,0,0
MICROSOFT CORP,COM,594918104,3258715957000,6551368,,SOLE,6551368,0,0
MNTN INC,CL A,55318A108,437400000,20000,,SOLE,20000,0,0
NOVO-NORDISK A S,ADR,670100205,87586380000,1269000,,SOLE,1269000,0,0
NU HLDGS LTD,ORD SHS CL A,G6683N103,151366654000,11032555,,SOLE,11032555,0,0
NVIDIA CORPORATION,COM,67066G104,1850023718000,11709752,,SOLE,11709752,0,0
PONY AI INC,SPONSORED ADS,732908108,4884000000,370000,,SOLE,370000,0,0
PROCORE TECHNOLOGIES INC,COM,74275K108,160068590000,2339500,,SOLE,2339500,0,0
REDDIT INC,CL A,75734B100,925852521000,6148984,,SOLE,6148984,0,0
SEA LTD,SPONSORD ADS,81141R100,2565651120000,16041335,,SOLE,16041335,0,0
SERVICENOW INC,COM,81762P102,308424000000,300000,,SOLE,300000,0,0
SHERWIN WILLIAMS CO,COM,824348106,413465528000,1204175,,SOLE,1204175,0,0
SPOTIFY TECHNOLOGY S A,SHS,L8681T102,967969484000,1261461,,SOLE,1261461,0,0
TAIWAN SEMICONDUCTOR MFG LTD,SPONSORED ADS,874039100,1036955927000,4578374,,SOLE,4578374,0,0
TAKE-TWO INTERACTIVE SOFTWAR,COM,874054109,1418063320000,5839256,,SOLE,5839256,0,0
TRIUMPH FINANCIAL INC,COM,89679E300,2408748000,43708,,SOLE,43708,0,0
UBER TECHNOLOGIES INC,COM,90353T100,14104907000,151178,,SOLE,151178,0,0
UNITEDHEALTH GROUP INC,COM,91324P102,136892436000,438800,,SOLE,438800,0,0
VEEVA SYS INC,CL A COM,922475108,697055590000,2420500,,SOLE,2420500,0,0
WEBULL CORP,ORD SHS,G9572D103,140220679000,11724137,,SOLE,11724137,0,0
WORKDAY INC,CL A,98138H101,240000000000,1000000,,SOLE,1000000,0,0
ZILLOW GROUP INC,CL C CAP STK,98954M200,436347544000,6229087,,SOLE,6229087,0,0
ZILLOW GROUP INC,CL A,98954M101,68807999000,1004643,,SOLE,1004643,0,0
ZKH GROUP LTD,SPONSORED ADS,98877R104,24550317000,7996846,,SOLE,7996846,0,0
ZSCALER INC,COM,98980G102,528444528000,1683266,,SOLE,1683266,0,0
