nameOfIssuer,titleOfClass,cusip,value,shares,putCall,investmentDiscretion,va_sole,va_shared,va_none
ALPHABET INC,CAP STK CL C,02079K107,988003363000,6324031,,SOLE,6324031,0,0
ALPHABET INC,CAP STK CL A,02079K305,686289227000,4437980,,SOLE,4437980,0,0
BROOKFIELD CORP,CL A LTD VT SH,11271J107,2149054073000,41004657,,SOLE,41004657,0,0
CANADIAN PACIFIC KANSAS CITY,COM,13646K108,1039093677000,14799796,,SOLE,14799796,0,0
CHIPOTLE MEXICAN GRILL INC,COM,169656105,1081582497000,21541177,,SOLE,21541177,0,0
HERTZ GLOBAL HLDGS INC,COM NEW,42806J700,59100000000,15000000,,SOLE,15000000,0,0
HILTON WORLDWIDE HLDGS INC,COM,43300A203,682825214000,3000770,,SOLE,3000770,0,0
HOWARD HUGHES HOLDINGS INC,COM,44267T102,1396560901000,18852064,,SOLE,18852064,0,0
RESTAURANT BRANDS INTL INC,COM,76131D103,1532780909000,23000914,,SOLE,23000914,0,0
SEAPORT ENTMT GROUP INC,COMMON STOCK,812215200,107860557000,5023780,,SOLE,5023780,0,0
UBER TECHNOLOGIES INC,COM,90353T100,2207742590000,30301161,,SOLE,30301161,0,0
