nameOfIssuer,titleOfClass,cusip,value,shares,putCall,investmentDiscretion,va_sole,va_shared,va_none
ALPHABET INC,CAP STK CL C,02079K107,1121819859000,6324031,,SOLE,6324031,0,0
ALPHABET INC,CAP STK CL A,02079K305,945117965000,5362980,,SOLE,5362980,0,0
AMAZON COM INC,COM,023135106,1277577297000,5823316,,SOLE,5823316,0,0
BROOKFIELD CORP,CL A LTD VT SH,11271J107,2545770554000,41160397,,SOLE,41160397,0,0
CHIPOTLE MEXICAN GRILL INC,COM,169656105,1209537089000,21541177,,SOLE,21541177,0,0
HERTZ GLOBAL HLDGS INC,COM NEW,42806J700,104096897000,15241127,,SOLE,15241127,0,0
HILTON WORLDWIDE HLDGS INC,COM,43300A203,807164145000,3030578,,SOLE,3030578,0,0
HOWARD HUGHES HOLDINGS INC,COM,44267T102,1272514320000,18852064,,SOLE,18852064,0,0
RESTAURANT BRANDS INTL INC,COM,76131D103,1524730589000,23000914,,SOLE,23000914,0,0
SEAPORT ENTMT GROUP INC,COMMON STOCK,812215200,93693497000,5023780,,SOLE,5023780,0,0
UBER TECHNOLOGIES INC,COM,90353T100,2827098321000,30301161,,SOLE,30301161,0,0
