nameOfIssuer,titleOfClass,cusip,value,shares,putCall,investmentDiscretion,va_sole,va_shared,va_none
ALPHABET INC,CAP STK CL C,02079K107,1437361516000,7547582,,SOLE,7547582,0,0
ALPHABET INC,CAP STK CL A,02079K305,754642178000,3986488,,SOLE,3986488,0,0
BROOKFIELD CORP,CL A LTD VT SH,11271J107,2004606527000,34893064,,SOLE,34893064,0,0
CANADIAN PACIFIC KANSAS CITY,COM,13646K108,1076695603000,14877651,,SOLE,14877651,0,0
CHIPOTLE MEXICAN GRILL INC,COM,169656105,1486608040000,24653533,,SOLE,24653533,0,0
HILTON WORLDWIDE HLDGS INC,COM,43300A203,1344685349000,5440546,,SOLE,5440546,0,0
HOWARD HUGHES HOLDINGS INC,COM,44267T102,1450100763000,18852064,,SOLE,18852064,0,0
NIKE INC,CL B,654106103,1420246144000,18768946,,SOLE,18768946,0,0
RESTAURANT BRANDS INTL INC,COM,76131D103,1499199575000,23000914,,SOLE,23000914,0,0
SEAPORT ENTMT GROUP INC,COMMON STOCK,812215200,140414651000,5023780,,SOLE,5023780,0,0
