nameOfIssuer,titleOfClass,cusip,value,shares,putCall,investmentDiscretion,va_sole,va_shared,va_none
ACCELERANT HOLDINGS,CL A,G00894108,1116750000,75000,,SOLE,75000,0,0
ALPHABET INC,CAP STK CL A,02079K305,2584493826000,10631402,,SOLE,10631402,0,0
AMAZON COM INC,COM,023135106,2424808340000,11043441,,SOLE,11043441,0,0
APOLLO GLOBAL MGMT INC,COM,03769M106,827539532000,6209496,,SOLE,6209496,0,0
APPLIED MATLS INC,COM,038222105,183283248000,895200,,SOLE,895200,0,0
APPLOVIN CORP,COM CL A,03831W108,1439227716000,2002989,,SOLE,2002989,0,0
ATRENEW INC,SPONSORED ADS,00138L108,45223603000,9831218,,SOLE,9831218,0,0
BLOCK INC,CL A,852234103,319672758000,4423312,,SOLE,4423312,0,0
BROADCOM INC,COM,11135F101,953312555000,2889614,,SOLE,2889614,0,0
BULLISH,ORD SHS,G16910120,6361000000,100000,,SOLE,100000,0,0
CHIME FINL INC,COM SHS CL A,16935C109,251535391000,12470768,,SOLE,12470768,0,0
CIRCLE INTERNET GROUP INC,COM CL A,172573107,16572500000,125000,,SOLE,125000,0,0
CORPAY INC,COM SHS,219948106,510196317000,1771146,,SOLE,1771146,0,0
COSTAR GROUP INC,COM,22160N109,273789846000,3245109,,SOLE,3245109,0,0
COUPANG INC,CL A,22266T109,509970044000,15837579,,SOLE,15837579,0,0
DOORDASH INC,CL A,25809K105,6891411000,25337,,SOLE,25337,0,0
ELASTIC N V,ORD SHS,N14506104,142847243000,1690700,,SOLE,1690700,0,0
ETORO GROUP LTD,SHS CL A,G32089107,3301600000,80000,,SOLE,80000,0,0
FIGMA INC,CLASS A COM STK,316841105,3112200000,60000,,SOLE,60000,0,0
FIGURE TECHNOLOGY SOLUTIO,COM CL A,349381103,7274000000,200000,,SOLE,200000,0,0
FLUTTER ENTMT PLC,SHS,G3643J108,929180768000,3658192,,SOLE,3658192,0,0
GE VERNOVA INC,COM,36828A101,709959851000,1154594,,SOLE,1154594,0,0
GEMINI SPACE STA INC,CL A COM,36866J105,1677200000,70000,,SOLE,70000,0,0
GRAB HOLDINGS LIMITED,CLASS A ORD,G4124C109,559401204000,92923788,,SOLE,92923788,0,0
HINGE HEALTH INC,CL A,433313103,27092553000,552008,,SOLE,552008,0,0
JD.COM INC,SPON ADS CL A,47215P106,12043929000,344309,,SOLE,344309,0,0
KLARNA GROUP PLC,SHS,G5279N105,6413750000,175000,,SOLE,175000,0,0
LAM RESEARCH CORP,COM NEW,512807306,704357919000,5260328,,SOLE,5260328,0,0
LIBERTY MEDIA CORP DEL,COM LBTY ONE S C,531229755,280134900000,2682000,,SOLE,2682000,0,0
META PLATFORMS INC,CL A,30303M102,2070217954000,2819001,,SOLE,2819001,0,0
MICROSOFT CORP,COM,594918104,3393281056000,6551368,,SOLE,6551368,0,0
MNTN INC,CL A,55318A108,371000000,20000,,SOLE,20000,0,0
MONGODB INC,CL A,60937P106,105839580000,341000,,SOLE,341000,0,0
NETFLIX INC,COM,64110L106,242061948000,201900,,SOLE,201900,0,0
NETSKOPE INC,CL A,64119N608,11365000000,500000,,SOLE,500000,0,0
NU HLDGS LTD,ORD SHS CL A,G6683N103,176631206000,11032555,,SOLE,11032555,0,0
NVIDIA CORPORATION,COM,67066G104,2184805528000,11709752,,SOLE,11709752,0,0
PONY AI INC,SPONSORED ADS,732908108,8321300000,370000,,SOLE,370000,0,0
PROCORE TECHNOLOGIES INC,COM,74275K108,170596340000,2339500,,SOLE,2339500,0,0
REDDIT INC,CL A,75734B100,1074631725000,4672515,,SOLE,4672515,0,0
SEA LTD,SPONSORD ADS,81141R100,2867067805000,16041335,,SOLE,16041335,0,0
SERVICENOW INC,COM,81762P102,276084000000,300000,,SOLE,300000,0,0
SHERWIN WILLIAMS CO,COM,824348106,113980136000,329175,,SOLE,329175,0,0
SPOTIFY TECHNOLOGY S A,SHS,L8681T102,880499778000,1261461,,SOLE,1261461,0,0
TAIWAN SEMICONDUCTOR MFG LTD,SPONSORED ADS,874039100,1278694074000,4578374,,SOLE,4578374,0,0
TAKE-TWO INTERACTIVE SOFTWAR,COM,874054109,1508630180000,5839256,,SOLE,5839256,0,0
TRIUMPH FINANCIAL INC,COM,89679E300,2187148000,43708,,SOLE,43708,0,0
UBER TECHNOLOGIES INC,COM,90353T100,14810909000,151178,,SOLE,151178,0,0
UNITEDHEALTH GROUP INC,COM,91324P102,151517640000,438800,,SOLE,438800,0,0
VEEVA SYS INC,CL A COM,922475108,721091155000,2420500,,SOLE,2420500,0,0
VIA TRANSN INC,COM CL A,92556W104,721200000,15000,,SOLE,15000,0,0
WEBULL CORP,ORD SHS,G9572D103,173399986000,11724137,,SOLE,11724137,0,0
WORKDAY INC,CL A,98138H101,240730000000,1000000,,SOLE,1000000,0,0
ZILLOW GROUP INC,CL C CAP STK,98954M200,388728345000,5045144,,SOLE,5045144,0,0
ZILLOW GROUP INC,CL A,98954M101,58289721000,783043,,SOLE,783043,0,0
ZSCALER INC,COM,98980G102,504407490000,1683266,,SOLE,1683266,0,0
