nameOfIssuer,titleOfClass,cusip,value,shares,putCall,investmentDiscretion,va_sole,va_shared,va_none
ALLY FINL INC,COM,02005N100,495431341000,12719675,,DFND,12719675,0,0
ALLY FINL INC,COM,02005N100,109210931000,2803875,,DFND,2803875,0,0
ALLY FINL INC,COM,02005N100,164688390000,4228200,,DFND,4228200,0,0
ALLY FINL INC,COM,02005N100,122186150000,3137000,,DFND,3137000,0,0
ALLY FINL INC,COM,02005N100,188371938000,4836250,,DFND,4836250,0,0
ALLY FINL INC,COM,02005N100,49661250000,1275000,,DFND,1275000,0,0
AMAZON COM INC,COM,023135106,1694568360000,7724000,,DFND,7724000,0,0
AMAZON COM INC,COM,023135106,499331640000,2276000,,DFND,2276000,0,0
AMERICAN EXPRESS CO,COM,025816109,366808499000,1149942,,DFND,1149942,0,0
AMERICAN EXPRESS CO,COM,025816109,47547492134000,149061045,,DFND,149061045,0,0
AMERICAN EXPRESS CO,COM,025816109,446480453000,1399713,,DFND,1399713,0,0
APPLE INC,COM,037833100,141977640000,692000,,DFND,692000,0,0
APPLE INC,COM,037833100,787852800000,3840000,,DFND,3840000,0,0
APPLE INC,COM,037833100,6975780000,34000,,DFND,34000,0,0
APPLE INC,COM,037833100,7124323080000,34724000,,DFND,34724000,0,0
APPLE INC,COM,037833100,558883080000,2724000,,DFND,2724000,0,0
APPLE INC,COM,037833100,3186700440000,15532000,,DFND,15532000,0,0
APPLE INC,COM,037833100,12626774848000,61542988,,DFND,61542988,0,0
APPLE INC,COM,037833100,1478044680000,7204000,,DFND,7204000,0,0
APPLE INC,COM,037833100,2969220240000,14472000,,DFND,14472000,0,0
APPLE INC,COM,037833100,27235704452000,132747012,,DFND,132747012,0,0
APPLE INC,COM,037833100,556421040000,2712000,,DFND,2712000,0,0
APPLE INC,COM,037833100,774721920000,3776000,,DFND,3776000,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,5061309000,108217,,DFND,108217,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,4530470000,96867,,DFND,96867,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,698229000,14929,,DFND,14929,0,0
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,169869000,3632,,DFND,3632,0,0
BANK AMER CORP,COM,060505104,185494400000,3920000,,DFND,3920000,0,0
BANK AMER CORP,COM,060505104,563108000000,11900000,,DFND,11900000,0,0
BANK AMER CORP,COM,060505104,6885060000,145500,,DFND,145500,0,0
BANK AMER CORP,COM,060505104,5672810325000,119881875,,DFND,119881875,0,0
BANK AMER CORP,COM,060505104,99372000000,2100000,,DFND,2100000,0,0
BANK AMER CORP,COM,060505104,993720000000,21000000,,DFND,21000000,0,0
BANK AMER CORP,COM,060505104,14707056000000,310800000,,DFND,310800000,0,0
BANK AMER CORP,COM,060505104,5949070400000,125720000,,DFND,125720000,0,0
BANK AMER CORP,COM,060505104,463736000000,9800000,,DFND,9800000,0,0
CAPITAL ONE FINL CORP,COM,14040H105,412586958000,1939213,,DFND,1939213,0,0
CAPITAL ONE FINL CORP,COM,14040H105,653978922000,3073787,,DFND,3073787,0,0
CAPITAL ONE FINL CORP,COM,14040H105,454668120000,2137000,,DFND,2137000,0,0
CHARTER COMMUNICATIONS INC N,CL A,16119P108,433699170000,1060882,,DFND,1060882,0,0
CHEVRON CORP NEW,COM,166764100,494615203000,3454258,,DFND,3454258,0,0
CHEVRON CORP NEW,COM,166764100,2514989303000,17564001,,DFND,17564001,0,0
CHEVRON CORP NEW,COM,166764100,8791866000,61400,,DFND,61400,0,0
CHEVRON CORP NEW,COM,166764100,299553480000,2092000,,DFND,2092000,0,0
CHEVRON CORP NEW,COM,166764100,4656139014000,32517208,,DFND,32517208,0,0
CHEVRON CORP NEW,COM,166764100,409294296000,2858400,,DFND,2858400,0,0
CHEVRON CORP NEW,COM,166764100,8817572185000,61579525,,DFND,61579525,0,0
CHEVRON CORP NEW,COM,166764100,277502220000,1938000,,DFND,1938000,0,0
COCA COLA CO,COM,191216100,56600000000,800000,,DFND,800000,0,0
COCA COLA CO,COM,191216100,26281573000,371471,,DFND,371471,0,0
COCA COLA CO,COM,191216100,6013750000,85000,,DFND,85000,0,0
COCA COLA CO,COM,191216100,5680036400000,80283200,,DFND,80283200,0,0
COCA COLA CO,COM,191216100,129048000000,1824000,,DFND,1824000,0,0
COCA COLA CO,COM,191216100,1019592400000,14411200,,DFND,14411200,0,0
COCA COLA CO,COM,191216100,1060570800000,14990400,,DFND,14990400,0,0
COCA COLA CO,COM,191216100,20002633077000,282722729,,DFND,282722729,0,0
COCA COLA CO,COM,191216100,251304000000,3552000,,DFND,3552000,0,0
COCA COLA CO,COM,191216100,67920000000,960000,,DFND,960000,0,0
CONSTELLATION BRANDS INC,CL A,21036P108,65072000000,400000,,DFND,400000,0,0
CONSTELLATION BRANDS INC,CL A,21036P108,2114840000000,13000000,,DFND,13000000,0,0
D R HORTON INC,COM,23331A109,191491322000,1485350,,DFND,1485350,0,0
DAVITA INC,COM,23918K108,2369240936000,16632088,,DFND,16632088,0,0
DAVITA INC,COM,23918K108,2445076330000,17164453,,DFND,17164453,0,0
DIAGEO P L C,SPON ADR NEW,25243Q205,22966310000,227750,,DFND,227750,0,0
DOMINOS PIZZA INC,COM,25754A201,1186820921000,2633868,,DFND,2633868,0,0
HEICO CORP NEW,CL A,422806208,334980855000,1294612,,DFND,1294612,0,0
JEFFERIES FINL GROUP INC,COM,47233W109,23711287000,433558,,DFND,433558,0,0
KRAFT HEINZ CO,COM,500754106,8407891001000,325634818,,DFND,325634818,0,0
KROGER CO,COM,501044101,1191226566000,16607090,,DFND,16607090,0,0
KROGER CO,COM,501044101,55126729000,768531,,DFND,768531,0,0
KROGER CO,COM,501044101,384983446000,5367119,,DFND,5367119,0,0
KROGER CO,COM,501044101,1955163260000,27257260,,DFND,27257260,0,0
LAMAR ADVERTISING CO NEW,CL A,512816109,141931370000,1169507,,DFND,1169507,0,0
LENNAR CORP,CL A,526057104,779689116000,7048993,,DFND,7048993,0,0
LENNAR CORP,CL B,526057302,19042883000,180930,,DFND,180930,0,0
LIBERTY MEDIA CORP DEL,COM LBTY LIV S C,531229722,295388475000,3639582,,DFND,3639582,0,0
LIBERTY MEDIA CORP DEL,COM LBTY LIV S C,531229722,11618622000,143157,,DFND,143157,0,0
LIBERTY MEDIA CORP DEL,COM LBTY LIV S C,531229722,448786069000,5529646,,DFND,5529646,0,0
LIBERTY MEDIA CORP DEL,COM LBTY LIV S C,531229722,13198239000,162620,,DFND,162620,0,0
LIBERTY MEDIA CORP DEL,COM LBTY LIV S C,531229722,117085961000,1442656,,DFND,1442656,0,0
LIBERTY MEDIA CORP DEL,COM LBTY LIV S A,531229748,80409757000,1011698,,DFND,1011698,0,0
LIBERTY MEDIA CORP DEL,COM LBTY LIV S A,531229748,261073917000,3284775,,DFND,3284775,0,0
LIBERTY MEDIA CORP DEL,COM LBTY LIV S A,531229748,18546420000,233347,,DFND,233347,0,0
LIBERTY MEDIA CORP DEL,COM LBTY LIV S A,531229748,36303921000,456768,,DFND,456768,0,0
LIBERTY MEDIA CORP DEL,COM SER C FRMLA,531229854,302332608000,2893135,,DFND,2893135,0,0
LIBERTY MEDIA CORP DEL,COM SER C FRMLA,531229854,13106390000,125420,,DFND,125420,0,0
LOUISIANA PAC CORP,COM,546347105,113496825000,1319884,,DFND,1319884,0,0
LOUISIANA PAC CORP,COM,546347105,373618725000,4344909,,DFND,4344909,0,0
MASTERCARD INC,CL A,57636Q104,2240256977000,3986648,,DFND,3986648,0,0
MOODYS CORP,COM,615369105,36164639000,72100,,DFND,72100,0,0
MOODYS CORP,COM,615369105,6006002546000,11973928,,DFND,11973928,0,0
MOODYS CORP,COM,615369105,6331946763000,12623750,,DFND,12623750,0,0
NVR INC,COM,62944T105,82069454000,11112,,DFND,11112,0,0
NUCOR CORP,COM,670346105,856792068000,6614112,,DFND,6614112,0,0
OCCIDENTAL PETE CORP,COM,674599105,11130189516000,264941431,,DFND,264941431,0,0
